SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_10;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / HUI 20.7.1.0_0;null;2020_10;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;WB;ALL;HTTP + HTTPS BROWSING - DNS RESOLUTION TIME [S];0.16054545454545452;45.03247886363636;7.667361136363637
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / TIM 20.9.1.0_0;null;2020_10;2021_02;Italy;TIM;222;1;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video2;Video2 STATIC YOU TUBE  - B4 HD SHARE - NUMBERS OF QUALIFIED VIDEO STARTED AND TERMINATED IN HD;4.0;45.0324875;7.6673652500000005
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / TIM 20.9.1.0_0;null;2020_10;2021_02;Italy;TIM;222;1;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video2;Video2 STATIC YOU TUBE HD - NUMBERS OF VIDEOS STARTED AND TERMINATED IN HD WITHOUT VIDEO COMPRESSION;4.0;45.0324875;7.6673652500000005
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT01;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / HUI 20.7.1.0_0;null;2020_10;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;DL CE;ALL;HTTP + HTTPS DOWNLINK - DOWNLOAD Transfer Time [S];0.7095;45.06197259999999;7.678625600000001
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / TIM 20.9.1.0_0;null;2020_10;2021_02;Italy;TIM;222;1;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;Streaming HD Static;Video2;Video2 STATIC YOU TUBE HD - AVERAGE VIDEO START TIME [s] on Qualified session;0.9715;45.0324875;7.6673652500000005
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;DL CE;HTTPS;HTTPS DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_10;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;5G_Real;null;Main Cities;TORINO;WT03;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_10;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;DL CE;HTTP;HTTP DOWNLINK - DOWNLOAD Transfer Time [S];5.480666666666667;45.06604633333333;7.694709333333333
Cities and Towns;5G_Cap;null;Main Cities;TORINO;WT02;NOMADIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_10;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD2_TO_N21C_843;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET (QUALIFIED SESSION)- NUMBERS OF SESSIONS WHOSE THROUGHPUT EXCEEDS 500 Kbps;10.0;45.0324853;7.6673688
