SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;WB;ALL;HTTP + HTTPS BROWSING - D5. SESSION TIME AVG [S];1.5192643884892085;45.81875703956836;8.826059886690642
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET (QUALIFIED SESSION)- NUMBERS OF SESSIONS WHOSE THROUGHPUT EXCEEDS 500 Kbps;278.0;45.81887875899276;8.825804320143883
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL NC;HTTP;UPLINK NETWORK CAPABILITY MULTISOCKET - DOWNLOAD Transfer Time [S];7.0;45.81887875899276;8.825804320143883
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTP;HTTP UPLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Static;Video2;Video2 STATIC YOU TUBE HD  - B5 AVG  VIDEO RESOLUTION FOR QUALIFIED VIDEOS;904.0181331305137;45.82006716216213;8.823655846846842
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960F) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-16162958 dpi@21DHBE20) / Unavailable / PPR1.180610.011.G960FXXU5CSF2 / OMN 19.5.0.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Live;Video3;Video3 LIVE YOU TUBE HD  - B5 AVG  VIDEO RESOLUTION FOR QUALIFIED VIDEOS;1018.7858370805626;45.819325687499976;8.82416875
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - UPLOAD Transfer Time [S];5.711815789473684;45.81852807894736;8.82771552631579
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / OMN 20.9.1.0_0;null;2020_08;2021_02;Italy;Vodafone;222;10;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF ATTEMPTS [N];38.0;45.81847094736844;8.827660263157899
