SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTP;HTTP UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;4G+5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS) , Samsung Galaxy S20+ 5G (SM-G986BDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0 , 4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;WB;ALL;HTTP + HTTPS BROWSING - IP SERVICE ACCESS TIME [S];0.2004028776978417;45.81890206654684;8.826094992805753
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
Cities and Towns;5G_Cap;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S20+ 5G (SM-G986BDS);4.19.87-18862671 dpi@SWDI3417 / Unavailable / QP1A.190711.020.G986BXXU3ATG4 / ITV 20.7.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;Streaming HD Static;ALL;STATIC YOU TUBE HD - AVERAGE VIDEO START TIME [s] on Qualified session (Time to First Picture);1.8192773722627738;45.81812289781021;8.828298343065688
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - DOWNLOAD Transfer Time [S];4.658833333333333;45.819981152777785;8.823843333333333
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF ATTEMPTS [N];68.0;45.81943786764705;8.824367676470587
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;UL CE;HTTPS;HTTPS UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF ATTEMPTS [N];72.0;45.819933958333344;8.823917194444446
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Iliad;222;50;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL CE;HTTP;HTTP DOWNLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
