TECHNOLOGY;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;OPERATOR NAME;RAN VENDOR;Test;Sub-Test;KPI ID;KPI Name;KPI value;Latitude;Longitude
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;665502;HTTPS DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;77000;HTTPS BROWSING - NUMBER OF DNS HOST RESOLUTION FAILURES [N];4.0;45.81065125000001;8.831127749999998
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;665504;HTTPS DOWNLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;66000;HTTPS UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTP;76504;BROWSING HTTP - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;66001;HTTPS UPLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;65504;HTTPS DOWNLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;75504;HTTP DOWNLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;66004;HTTPS UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTP;76501;BROWSING HTTP - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;666004;HTTPS UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTP;76500;BROWSING HTTP - NUMBER OF DNS HOST RESOLUTION FAILURES [N];3.0;45.817048666666665;8.834866666666667
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;65502;HTTPS DOWNLINK - NUMBER OF ERRORS IN RETAINABILITY [N];1.0;45.818837;8.816485
5G_Cap;VARESE;DRIVE;Iliad;NSN;Streaming HD Live;Video3;679501;Video3 LIVE YOU TUBE HD - NUMBER OF VIDEO FAILURES;0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;66002;HTTPS UPLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;65501;HTTPS DOWNLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;Streaming HD Live;Video3;79501;Video3 LIVE YOU TUBE HD - NUMBER OF VIDEO FAILURES;0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;76004;HTTP UPLINK - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;Legacy;M2M;75001;ACCESS FAILURES [N] (column I +K);3.0;45.824434;8.834753999999998
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;666002;HTTPS UPLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;666000;HTTPS UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;666001;HTTPS UPLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
VoLTE_CAP;VARESE;DRIVE;Iliad;NSN;VoLTE;M2M;75201;ACCESS FAILURES [N] (column I +K);2.0;45.8109885;8.8275695
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;76000;HTTP UPLINK - NUMBER OF DNS HOST RESOLUTION FAILURES [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;76002;HTTP UPLINK - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;76001;HTTP UPLINK - NUMBER OF IP SERVICE ACCESS FAILURES [N];0.0;null;null
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTP;DK_187;BROWSING - SUCCESS RATE [%];98.63013698630137;45.817758513698614;8.828420239726022
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;DK_204;HTTPS BROWSING - SUCCESS RATE [%];96.37681159420289;45.819693615941986;8.824252115942027
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;DK_19;HTTP DOWNLINK - SUCCESS RATE [%];95.83333333333334;45.817677402777775;8.828718583333336
4G;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;DK_140;DOWNLINK NETWORK CAPABILITY MULTISOCKET - SUCCESS RATE [%];99.3006993006993;45.819776244755225;8.823989916083914
4G;VARESE;DRIVE;Iliad;NSN;WB;HTTP;DK_187;BROWSING - SUCCESS RATE [%];97.91666666666666;45.819711611111096;8.824010715277778
5G_Cap;VARESE;DRIVE;Iliad;NSN;WB;HTTPS;DK_204;HTTPS BROWSING - SUCCESS RATE [%];97.8102189781022;45.818175861313854;8.828034437956203
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTP;DK_19;HTTP DOWNLINK - SUCCESS RATE [%];100.0;45.819933958333344;8.823917194444446
4G;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;DK_43;HTTPS DOWNLINK - SUCCESS RATE [%];97.05882352941177;45.819478382352955;8.82462923529412
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;DK_166;UPLINK NETWORK CAPABILITY MULTISOCKET - SUCCESS RATE [%];100.0;45.81815437142859;8.828252607142852
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;DK_101;HTTPS UPLINK - SUCCESS RATE [%];100.0;45.818424897058826;8.828028191176472
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;DK_81;HTTP UPLINK - SUCCESS RATE [%];100.0;45.819812352112685;8.824213295774646
4G;VARESE;DRIVE;Iliad;NSN;UL NC;HTTP;DK_166;UPLINK NETWORK CAPABILITY MULTISOCKET - SUCCESS RATE [%];97.16312056737588;45.819778446808506;8.824269780141845
5G_Cap;VARESE;DRIVE;Iliad;NSN;UL CE;HTTP;DK_81;HTTP UPLINK - SUCCESS RATE [%];98.61111111111111;45.817621375;8.828734638888893
4G;VARESE;DRIVE;Iliad;NSN;UL CE;HTTPS;DK_101;HTTPS UPLINK - SUCCESS RATE [%];100.0;45.81943786764705;8.824367676470587
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL NC;HTTP;DK_140;DOWNLINK NETWORK CAPABILITY MULTISOCKET - SUCCESS RATE [%];100.0;45.81781434507044;8.828302711267604
5G_Cap;VARESE;DRIVE;Iliad;NSN;DL CE;HTTPS;DK_43;HTTPS DOWNLINK - SUCCESS RATE [%];100.0;45.8184531764706;8.827965985294117
