SCOPE;TECHNOLOGY;CARRIER AGGREGATION YES/NOT;TARGET ON SCOPE;CITIES ROUTE LINES PLACE (sub-target);AREAS OF INTEREST;TEST MODALITY (N NOMADIC/D DINAMIC);SMARTPHONE MODEL;FIRMWARE VERSION;HANDSET CAPABILITY [THROUGHPUT DL/UL];LAST ACQUISITION TIMING [YYYY_MM];NED MONTH [YYYY_MM];Country;OPERATOR NAME;MCC;MNC;OPCOS;RAN VENDOR;SCENARIO;DatabaseName;Service;Test;Sub-Test;KPI;KPI value;Latitude;Longitude
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DNS HOST RESOLUTION FAILURES [N];1.0;45.81608;8.820495
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF ERRORS IN RETAINABILITY [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET (QUALIFIED SESSION)- NUMBERS OF SESSIONS WHOSE THROUGHPUT EXCEEDS 500 Kbps;141.0;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - DOWNLOAD Transfer Time [S];7.0;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;WB;HTTPS;HTTPS BROWSING - NUMBER OF DNS+IP SERVICE ACCESS TIMEOUT  [N];0.0;null;null
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DL WITH THROUGHPUT > 1 MBPS;141.0;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DL WITH THROUGHPUT > 10 MBPS;106.0;45.820960283018856;8.823553405660373
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - NUMBER OF DL WITH THROUGHPUT > 3 MBPS;125.0;45.820821519999996;8.823818711999998
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - PEAK DATA USER RATE [KBIT/S];192193.8116589992;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - THROUGHPUT STANDARD DEVIATION;48462.17851399461;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - MEAN DATA USER RATE [KBIT/S];54015.79066314267;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - 10TH PERCENTILE THR.;2920.978914509216;45.81989153191488;8.823978971631202
Cities and Towns;4G;null;Smaller Cities;VARESE;DRIVE;DYNAMIC;Samsung Galaxy S9 (SM-G960FDS);4.9.59-15367606 dpi@SWDH4607) / Unavailable / PPR1.180610.011.G960FXXU2CSB9 / ITV 19.5.1.0_0;null;2020_08;2021_02;Italy;Wind;222;88;VF-IT;NSN;null;VD4_VA_G21C_796;Packet;DL NC;HTTP;DOWNLINK NETWORK CAPABILITY MULTISOCKET - 90TH PERCENTILE THR.;121307.693542304;45.81989153191488;8.823978971631202
